name,address,isContract
CFO Income,0xAb6bE29863BBCc74BBe8fDf46D471C94859381B1,FALSE
CFO Payments,0x302F0A644bfb6CCAf15168A9388877d6551F57Ef,FALSE
Jason Payments,0xac971d8554e0b25C8372E51Fa75A6953Cf2A470d,FALSE
Jarrad Multisig,0x3Ac6Cb2CcFd8c8aAe3BA31D7ED44C20d241B16A4,FALSE
Carl Multisig,0xdBD6ffD3CB205576367915Dd2f8De0aF7edcCeeF,FALSE
Jordi Baylina Community Multisig,0x6B9EF02657339310E28a7A9D4B5f25F7c1F68d61,FALSE
Joe Urgo Community Multisig,0x904Ef6ff8E82478c5604d99884EB9Bcd7F73Cc36,FALSE
Hudson Jammeson Community Multisig,0x02E3F16cA21cf0508835B190933ECbdE2f7f14DF,FALSE
Jorge Izquierdo Community Multisig,0x4838Eab6F43841E0D233Db4CeA47BD64F614f0c5,FALSE
StickerMarket Controller,0x12824271339304d3a9f7e096e62a2a7e73b4a7e7,FALSE
Status Open Bounties Admin,0x89bb5a1880608Fe606F6D2c3dc30c3624F3429fC,FALSE
Carl SNT Ledger management,0x0eab74d45feefd4e31280494780c4dda7966ddc0,FALSE
embark.eth,0x2500d3147595331f833600a04211a62ebdcdfdcb,FALSE
snt.eth,0x2500d3147595331f833600a04211a62ebdcdfdcb,FALSE
status.eth,0x2500d3147595331f833600a04211a62ebdcdfdcb,FALSE
nimbus.eth,0x2500d3147595331f833600a04211a62ebdcdfdcb,FALSE
stateofus.eth,0xdb5ac1a559b02e12f29fc0ec0e37be8e046def49,TRUE
SNT Placeholder,0x52ae2b53c847327f95a5084a7c38c0adb12fd302,TRUE
SNT MiniMe Token,0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,TRUE
MiniMe Token Factory,0xa1c957c0210397d2d0296341627b74411756d476,TRUE
SNT DevTokensHolder,0xf348717CFFF01Edc759a4E0cB198f6360975ee39,TRUE
SNT Dynamic Ceiling,0xc636e73Ff29fAEbCABA9E0C3f6833EaD179FFd5c,TRUE
SNT Contribution,0x55d34b686aa8C04921397c5807DB9ECEdba00a4c,TRUE
SNT Contribution Wallet,0x2fdfdc48b4ca0021e4c629f137d151b5910e6cd0,TRUE
SGT Exchanger,0x20a7b20b9c213e6705c72a4216fdbc628a29d06c,TRUE
Developers Multisig,0xB913626032140A86c77D1fdde4f611A00D589C55,TRUE
Status R&D Multisig,0xA646E29877d52B9e2De457ECa09C724fF16D0a2B,TRUE
Status Community Multisig / Reserve,0xBBF0cC1C63F509d48a4674e270D26d80cCAF6022,TRUE
Dapp Discovery,0xda6072F5a9dA5AD4FeD58aE2401a7feB859E6eB8,TRUE
Sticker Market,0x12824271339304d3a9f7e096e62a2a7e73b4a7e7,TRUE
StickerPack,0x110101156e8F0743948B2A61aFcf3994A8Fb172e,TRUE
StickerType,0x0577215622f43a39f4bc9640806dfea9b10d2a36,TRUE
ENSRegistry,0x314159265dd8dbb310642f98f50c066173c1259b,TRUE
ENS Public Resolver,0x5FfC014343cd971B7eb70732021E26C35B744cc4,TRUE
ENS Username Registry,0xDBf9038cf5Aaa030890790dB87E746E00Fc352b3,TRUE
Meritocracy,0x0c869a3f3e915b49727669b5ea28c2efdf9a0a66,TRUE
Voting Dapp (PollManager),0x167c7c3d434315e4415eb802f0beb9ea44cd1546,TRUE
RelayHub,0xd216153c06e857cd7f72665e0af1d7d82172f494,TRUE
Assemble LiquidPledging ,0x603A7249E64b8cACe20ffb55926145346ca42A97,TRUE
Assemble SwapProxy,0x10E1FC179cd37CFed5B77AC4b65D17f0B789360E,TRUE
Assemble LPVault,0x1DC9F06caf1558287b1b8Afc8a152a739D1F3d38,TRUE
Assemble RecoveryVault,0x4c9315fcC271794ED4584949fD8521710E67bb2c,TRUE
